transaction_id,account_id,customer_id,transaction_date,posted_date,description,merchant_name,transaction_type,amount,status,reference_number,synthetic_notice
TXN-0000156,ACCT-000293,CUST-00093,2026-06-16,2026-06-16,ACH Credit - Corner Cafe,Corner Cafe,ACH Credit,3440.1,Posted,REF0000030108,Synthetic transaction
TXN-0000157,ACCT-000300,CUST-00100,2026-04-23,2026-04-23,Fee - Wire Fee,Wire Fee,Fee,-31.86,Posted,REF0000030301,Synthetic transaction
TXN-0000158,ACCT-000307,CUST-00107,2026-03-14,2026-03-14,Transfer In - City Fitness,City Fitness,Transfer In,1703.28,Posted,REF0000030494,Synthetic transaction
TXN-0000159,ACCT-000314,CUST-00114,2026-03-30,2026-03-30,Deposit - RideNow Transit,RideNow Transit,Deposit,1886.4,Posted,REF0000030687,Synthetic transaction
TXN-0000160,ACCT-000321,CUST-00121,2026-04-03,2026-04-03,ACH Credit - Oak & Main,Oak & Main,ACH Credit,814.32,Posted,REF0000030880,Synthetic transaction
TXN-0000161,ACCT-000328,CUST-00128,2026-05-10,2026-05-10,Bill Pay - Northline Utilities,Northline Utilities,Bill Pay,-578.07,Posted,REF0000031073,Synthetic transaction
TXN-0000162,ACCT-000335,CUST-00135,2026-01-30,2026-01-30,Refund - Oak & Main,Oak & Main,Refund,1216.46,Posted,REF0000031266,Synthetic transaction
TXN-0000163,ACCT-000342,CUST-00142,2026-02-11,2026-02-11,ACH Debit - Bluebird Pharmacy,Bluebird Pharmacy,ACH Debit,-190.82,Posted,REF0000031459,Synthetic transaction
TXN-0000164,ACCT-000349,CUST-00149,2026-04-25,2026-04-25,Deposit - GreenLeaf Market,GreenLeaf Market,Deposit,271.09,Posted,REF0000031652,Synthetic transaction
TXN-0000165,ACCT-000356,CUST-00156,2026-04-15,2026-04-15,Bill Pay - MedPlus Clinic,MedPlus Clinic,Bill Pay,-234.45,Posted,REF0000031845,Synthetic transaction
TXN-0000166,ACCT-000363,CUST-00163,2026-03-11,2026-03-13,Fee - Overdraft Fee,Overdraft Fee,Fee,-12.16,Posted,REF0000032038,Synthetic transaction
TXN-0000167,ACCT-000370,CUST-00170,2026-02-11,2026-02-11,ATM - Harbor Insurance,Harbor Insurance,ATM,-491.46,Posted,REF0000032231,Synthetic transaction
TXN-0000168,ACCT-000377,CUST-00177,2026-04-07,2026-04-07,POS - Oak & Main,Oak & Main,POS,-770.22,Posted,REF0000032424,Synthetic transaction
TXN-0000169,ACCT-000384,CUST-00184,2026-02-25,2026-02-25,Fee - Wire Fee,Wire Fee,Fee,-29.67,Posted,REF0000032617,Synthetic transaction
TXN-0000170,ACCT-000391,CUST-00191,2026-04-02,2026-04-04,ACH Debit - Metro Grocery,Metro Grocery,ACH Debit,-263.84,Posted,REF0000032810,Synthetic transaction
TXN-0000171,ACCT-000398,CUST-00198,2026-05-03,2026-05-05,Fee - Wire Fee,Wire Fee,Fee,-4.93,Posted,REF0000033003,Synthetic transaction
TXN-0000172,ACCT-000005,CUST-00005,2026-02-14,2026-02-14,Fee - Wire Fee,Wire Fee,Fee,-31,Posted,REF0000033196,Synthetic transaction
TXN-0000173,ACCT-000012,CUST-00012,2026-02-23,2026-02-23,Bill Pay - Harbor Insurance,Harbor Insurance,Bill Pay,-203.81,Posted,REF0000033389,Synthetic transaction
TXN-0000174,ACCT-000019,CUST-00019,2026-02-14,2026-02-14,Deposit - MedPlus Clinic,MedPlus Clinic,Deposit,3254.25,Posted,REF0000033582,Synthetic transaction
TXN-0000175,ACCT-000026,CUST-00026,2026-05-16,2026-05-16,POS - TuitionPay,TuitionPay,POS,-297.2,Posted,REF0000033775,Synthetic transaction
TXN-0000176,ACCT-000033,CUST-00033,2026-02-28,2026-02-28,POS - RideNow Transit,RideNow Transit,POS,-296.71,Posted,REF0000033968,Synthetic transaction
TXN-0000177,ACCT-000040,CUST-00040,2026-06-22,2026-06-22,Refund - City Fitness,City Fitness,Refund,1224.88,Posted,REF0000034161,Synthetic transaction
TXN-0000178,ACCT-000047,CUST-00047,2026-02-05,2026-02-05,ACH Debit - GreenLeaf Market,GreenLeaf Market,ACH Debit,-696.91,Posted,REF0000034354,Synthetic transaction
TXN-0000179,ACCT-000054,CUST-00054,2026-05-17,2026-05-17,Refund - MedPlus Clinic,MedPlus Clinic,Refund,2634.2,Posted,REF0000034547,Synthetic transaction
TXN-0000180,ACCT-000061,CUST-00061,2026-03-07,2026-03-07,Fee - Returned Item Fee,Returned Item Fee,Fee,-9.44,Posted,REF0000034740,Synthetic transaction
TXN-0000181,ACCT-000068,CUST-00068,2026-04-28,2026-04-28,Transfer In - GreenLeaf Market,GreenLeaf Market,Transfer In,2801.66,Posted,REF0000034933,Synthetic transaction
TXN-0000182,ACCT-000075,CUST-00075,2026-06-14,2026-06-14,Refund - Harbor Insurance,Harbor Insurance,Refund,2907.55,Posted,REF0000035126,Synthetic transaction
TXN-0000183,ACCT-000082,CUST-00082,2026-06-12,2026-06-12,Refund - Corner Cafe,Corner Cafe,Refund,2173.2,Posted,REF0000035319,Synthetic transaction
TXN-0000184,ACCT-000089,CUST-00089,2026-03-01,2026-03-01,Deposit - Atlas Wireless,Atlas Wireless,Deposit,1587.39,Pending,REF0000035512,Synthetic transaction
TXN-0000185,ACCT-000096,CUST-00096,2026-04-01,2026-04-01,Card Purchase - TuitionPay,TuitionPay,Card Purchase,-332.98,Posted,REF0000035705,Synthetic transaction
TXN-0000186,ACCT-000103,CUST-00103,2026-04-25,2026-04-25,Deposit - Corner Cafe,Corner Cafe,Deposit,1361.34,Pending,REF0000035898,Synthetic transaction
TXN-0000187,ACCT-000110,CUST-00110,2026-02-06,2026-02-06,POS - GreenLeaf Market,GreenLeaf Market,POS,-253.14,Posted,REF0000036091,Synthetic transaction
TXN-0000188,ACCT-000117,CUST-00117,2026-05-31,2026-05-31,Transfer In - BrightFuel,BrightFuel,Transfer In,910.26,Posted,REF0000036284,Synthetic transaction
TXN-0000189,ACCT-000124,CUST-00124,2026-02-12,2026-02-12,Card Purchase - GreenLeaf Market,GreenLeaf Market,Card Purchase,-442.09,Posted,REF0000036477,Synthetic transaction
TXN-0000190,ACCT-000131,CUST-00131,2026-05-05,2026-05-05,Bill Pay - Metro Grocery,Metro Grocery,Bill Pay,-228.84,Posted,REF0000036670,Synthetic transaction
TXN-0000191,ACCT-000138,CUST-00138,2026-03-22,2026-03-22,ATM - Corner Cafe,Corner Cafe,ATM,-153.27,Posted,REF0000036863,Synthetic transaction
TXN-0000192,ACCT-000145,CUST-00145,2026-02-08,2026-02-08,Fee - Returned Item Fee,Returned Item Fee,Fee,-17.14,Posted,REF0000037056,Synthetic transaction
TXN-0000193,ACCT-000152,CUST-00152,2026-06-01,2026-06-01,ACH Debit - Corner Cafe,Corner Cafe,ACH Debit,-701.88,Posted,REF0000037249,Synthetic transaction
TXN-0000194,ACCT-000159,CUST-00159,2026-05-30,2026-05-30,Refund - Atlas Wireless,Atlas Wireless,Refund,1036.38,Posted,REF0000037442,Synthetic transaction
TXN-0000195,ACCT-000166,CUST-00166,2026-06-17,2026-06-17,ACH Debit - StreamBox Media,StreamBox Media,ACH Debit,-128.45,Posted,REF0000037635,Synthetic transaction
TXN-0000196,ACCT-000173,CUST-00173,2026-06-04,2026-06-06,Refund - FastShip,FastShip,Refund,943.36,Posted,REF0000037828,Synthetic transaction
TXN-0000197,ACCT-000180,CUST-00180,2026-02-18,2026-02-18,Card Purchase - TuitionPay,TuitionPay,Card Purchase,-578.41,Posted,REF0000038021,Synthetic transaction
TXN-0000198,ACCT-000187,CUST-00187,2026-04-18,2026-04-18,Bill Pay - Harbor Insurance,Harbor Insurance,Bill Pay,-252.4,Posted,REF0000038214,Synthetic transaction
TXN-0000199,ACCT-000194,CUST-00194,2026-05-22,2026-05-22,Bill Pay - FastShip,FastShip,Bill Pay,-129.75,Posted,REF0000038407,Synthetic transaction
TXN-0000200,ACCT-000201,CUST-00001,2026-03-11,2026-03-11,Card Purchase - Atlas Wireless,Atlas Wireless,Card Purchase,-249.72,Posted,REF0000038600,Synthetic transaction
TXN-0000201,ACCT-000208,CUST-00008,2026-06-01,2026-06-01,Transfer In - BrightFuel,BrightFuel,Transfer In,924.4,Posted,REF0000038793,Synthetic transaction
TXN-0000202,ACCT-000215,CUST-00015,2026-02-10,2026-02-10,ATM - Bluebird Pharmacy,Bluebird Pharmacy,ATM,-406.01,Posted,REF0000038986,Synthetic transaction
TXN-0000203,ACCT-000222,CUST-00022,2026-01-31,2026-01-31,ATM - Metro Grocery,Metro Grocery,ATM,-712.24,Posted,REF0000039179,Synthetic transaction
TXN-0000204,ACCT-000229,CUST-00029,2026-05-11,2026-05-13,Card Purchase - FastShip,FastShip,Card Purchase,-345.92,Posted,REF0000039372,Synthetic transaction
TXN-0000205,ACCT-000236,CUST-00036,2026-06-15,2026-06-15,ACH Credit - BrightFuel,BrightFuel,ACH Credit,1106.97,Posted,REF0000039565,Synthetic transaction
TXN-0000206,ACCT-000243,CUST-00043,2026-06-19,2026-06-19,Transfer In - Oak & Main,Oak & Main,Transfer In,3400.3,Posted,REF0000039758,Synthetic transaction
TXN-0000207,ACCT-000250,CUST-00050,2026-06-04,2026-06-04,Card Purchase - Northline Utilities,Northline Utilities,Card Purchase,-647.3,Posted,REF0000039951,Synthetic transaction
TXN-0000208,ACCT-000257,CUST-00057,2026-01-29,2026-01-31,Bill Pay - BrightFuel,BrightFuel,Bill Pay,-441.96,Posted,REF0000040144,Synthetic transaction
TXN-0000209,ACCT-000264,CUST-00064,2026-04-29,2026-04-29,Refund - City Fitness,City Fitness,Refund,2749.51,Posted,REF0000040337,Synthetic transaction
TXN-0000210,ACCT-000271,CUST-00071,2026-02-14,2026-02-14,POS - TuitionPay,TuitionPay,POS,-212.48,Posted,REF0000040530,Synthetic transaction
TXN-0000211,ACCT-000278,CUST-00078,2026-03-08,2026-03-08,ACH Credit - Bluebird Pharmacy,Bluebird Pharmacy,ACH Credit,554.37,Posted,REF0000040723,Synthetic transaction
TXN-0000212,ACCT-000285,CUST-00085,2026-01-31,2026-01-31,POS - Harbor Insurance,Harbor Insurance,POS,-727.63,Posted,REF0000040916,Synthetic transaction
TXN-0000213,ACCT-000292,CUST-00092,2026-05-09,2026-05-09,POS - FastShip,FastShip,POS,-493.5,Posted,REF0000041109,Synthetic transaction
TXN-0000214,ACCT-000299,CUST-00099,2026-05-18,2026-05-18,ACH Credit - GreenLeaf Market,GreenLeaf Market,ACH Credit,855.43,Posted,REF0000041302,Synthetic transaction
TXN-0000215,ACCT-000306,CUST-00106,2026-05-05,2026-05-05,Transfer In - GreenLeaf Market,GreenLeaf Market,Transfer In,2002.25,Posted,REF0000041495,Synthetic transaction
TXN-0000216,ACCT-000313,CUST-00113,2026-06-11,2026-06-11,Bill Pay - MedPlus Clinic,MedPlus Clinic,Bill Pay,-627.3,Posted,REF0000041688,Synthetic transaction
TXN-0000217,ACCT-000320,CUST-00120,2026-05-23,2026-05-23,POS - Northline Utilities,Northline Utilities,POS,-23.75,Posted,REF0000041881,Synthetic transaction
TXN-0000218,ACCT-000327,CUST-00127,2026-03-08,2026-03-10,POS - Corner Cafe,Corner Cafe,POS,-375.67,Posted,REF0000042074,Synthetic transaction
TXN-0000219,ACCT-000334,CUST-00134,2026-01-28,2026-01-28,ATM - MedPlus Clinic,MedPlus Clinic,ATM,-682.55,Posted,REF0000042267,Synthetic transaction
TXN-0000220,ACCT-000341,CUST-00141,2026-05-29,2026-05-31,Card Purchase - Bluebird Pharmacy,Bluebird Pharmacy,Card Purchase,-651.21,Posted,REF0000042460,Synthetic transaction
TXN-0000221,ACCT-000348,CUST-00148,2026-04-29,2026-04-29,Card Purchase - City Fitness,City Fitness,Card Purchase,-236.58,Posted,REF0000042653,Synthetic transaction
TXN-0000222,ACCT-000355,CUST-00155,2026-06-17,2026-06-17,POS - MedPlus Clinic,MedPlus Clinic,POS,-415.57,Pending,REF0000042846,Synthetic transaction
TXN-0000223,ACCT-000362,CUST-00162,2026-06-20,2026-06-20,Fee - Overdraft Fee,Overdraft Fee,Fee,-18.79,Posted,REF0000043039,Synthetic transaction
TXN-0000224,ACCT-000369,CUST-00169,2026-05-09,2026-05-09,Transfer In - RideNow Transit,RideNow Transit,Transfer In,2249.95,Posted,REF0000043232,Synthetic transaction
TXN-0000225,ACCT-000376,CUST-00176,2026-06-10,2026-06-10,ATM - BrightFuel,BrightFuel,ATM,-461.47,Posted,REF0000043425,Synthetic transaction
TXN-0000226,ACCT-000383,CUST-00183,2026-03-11,2026-03-11,Transfer In - Corner Cafe,Corner Cafe,Transfer In,2860.59,Posted,REF0000043618,Synthetic transaction
TXN-0000227,ACCT-000390,CUST-00190,2026-03-02,2026-03-02,ACH Debit - TuitionPay,TuitionPay,ACH Debit,-622.84,Posted,REF0000043811,Synthetic transaction
TXN-0000228,ACCT-000397,CUST-00197,2026-02-24,2026-02-24,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-11.61,Posted,REF0000044004,Synthetic transaction
TXN-0000229,ACCT-000004,CUST-00004,2026-04-22,2026-04-22,Card Purchase - StreamBox Media,StreamBox Media,Card Purchase,-284.13,Posted,REF0000044197,Synthetic transaction
TXN-0000230,ACCT-000011,CUST-00011,2026-01-30,2026-01-30,Bill Pay - StreamBox Media,StreamBox Media,Bill Pay,-542.37,Posted,REF0000044390,Synthetic transaction
TXN-0000231,ACCT-000018,CUST-00018,2026-06-17,2026-06-17,ATM - StreamBox Media,StreamBox Media,ATM,-650.3,Posted,REF0000044583,Synthetic transaction
TXN-0000232,ACCT-000025,CUST-00025,2026-05-28,2026-05-28,POS - City Fitness,City Fitness,POS,-404.14,Posted,REF0000044776,Synthetic transaction
TXN-0000233,ACCT-000032,CUST-00032,2026-05-20,2026-05-20,ATM - Northline Utilities,Northline Utilities,ATM,-188.91,Pending,REF0000044969,Synthetic transaction
TXN-0000234,ACCT-000039,CUST-00039,2026-04-07,2026-04-07,POS - Northline Utilities,Northline Utilities,POS,-189.03,Posted,REF0000045162,Synthetic transaction
TXN-0000235,ACCT-000046,CUST-00046,2026-02-09,2026-02-09,Card Purchase - StreamBox Media,StreamBox Media,Card Purchase,-375.46,Posted,REF0000045355,Synthetic transaction
TXN-0000236,ACCT-000053,CUST-00053,2026-03-13,2026-03-13,ACH Debit - Atlas Wireless,Atlas Wireless,ACH Debit,-383.32,Posted,REF0000045548,Synthetic transaction
TXN-0000237,ACCT-000060,CUST-00060,2026-03-23,2026-03-25,Bill Pay - Metro Grocery,Metro Grocery,Bill Pay,-628.74,Posted,REF0000045741,Synthetic transaction
TXN-0000238,ACCT-000067,CUST-00067,2026-04-05,2026-04-05,POS - Atlas Wireless,Atlas Wireless,POS,-477.53,Posted,REF0000045934,Synthetic transaction
TXN-0000239,ACCT-000074,CUST-00074,2026-01-26,2026-01-26,POS - BrightFuel,BrightFuel,POS,-282.84,Posted,REF0000046127,Synthetic transaction
TXN-0000240,ACCT-000081,CUST-00081,2026-01-30,2026-01-30,Card Purchase - City Fitness,City Fitness,Card Purchase,-487.05,Posted,REF0000046320,Synthetic transaction
TXN-0000241,ACCT-000088,CUST-00088,2026-03-15,2026-03-15,POS - Bluebird Pharmacy,Bluebird Pharmacy,POS,-237.93,Posted,REF0000046513,Synthetic transaction
TXN-0000242,ACCT-000095,CUST-00095,2026-03-02,2026-03-04,ATM - Oak & Main,Oak & Main,ATM,-96.78,Posted,REF0000046706,Synthetic transaction
TXN-0000243,ACCT-000102,CUST-00102,2026-04-21,2026-04-21,ACH Credit - RideNow Transit,RideNow Transit,ACH Credit,864.86,Posted,REF0000046899,Synthetic transaction
TXN-0000244,ACCT-000109,CUST-00109,2026-02-04,2026-02-06,Bill Pay - BrightFuel,BrightFuel,Bill Pay,-124.42,Posted,REF0000047092,Synthetic transaction
TXN-0000245,ACCT-000116,CUST-00116,2026-05-30,2026-05-30,Fee - Returned Item Fee,Returned Item Fee,Fee,-15.82,Pending,REF0000047285,Synthetic transaction
TXN-0000246,ACCT-000123,CUST-00123,2026-06-01,2026-06-01,ACH Debit - City Fitness,City Fitness,ACH Debit,-273.9,Posted,REF0000047478,Synthetic transaction
TXN-0000247,ACCT-000130,CUST-00130,2026-05-14,2026-05-16,ACH Credit - GreenLeaf Market,GreenLeaf Market,ACH Credit,1135.35,Posted,REF0000047671,Synthetic transaction
TXN-0000248,ACCT-000137,CUST-00137,2026-05-29,2026-05-29,Fee - Overdraft Fee,Overdraft Fee,Fee,-32.35,Posted,REF0000047864,Synthetic transaction
TXN-0000249,ACCT-000144,CUST-00144,2026-03-07,2026-03-07,ACH Debit - Corner Cafe,Corner Cafe,ACH Debit,-315.21,Posted,REF0000048057,Synthetic transaction
TXN-0000250,ACCT-000151,CUST-00151,2026-02-18,2026-02-18,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-33.78,Posted,REF0000048250,Synthetic transaction
TXN-0000251,ACCT-000158,CUST-00158,2026-03-08,2026-03-08,Bill Pay - City Fitness,City Fitness,Bill Pay,-715.42,Posted,REF0000048443,Synthetic transaction
TXN-0000252,ACCT-000165,CUST-00165,2026-06-02,2026-06-02,ACH Debit - City Fitness,City Fitness,ACH Debit,-409.27,Posted,REF0000048636,Synthetic transaction
TXN-0000253,ACCT-000172,CUST-00172,2026-04-04,2026-04-04,Fee - Returned Item Fee,Returned Item Fee,Fee,-28.21,Posted,REF0000048829,Synthetic transaction
TXN-0000254,ACCT-000179,CUST-00179,2026-03-17,2026-03-17,Transfer In - Metro Grocery,Metro Grocery,Transfer In,3077.96,Posted,REF0000049022,Synthetic transaction
TXN-0000255,ACCT-000186,CUST-00186,2026-02-16,2026-02-16,ACH Credit - City Fitness,City Fitness,ACH Credit,1438.21,Posted,REF0000049215,Synthetic transaction
TXN-0000256,ACCT-000193,CUST-00193,2026-06-03,2026-06-03,ATM - RideNow Transit,RideNow Transit,ATM,-23.44,Posted,REF0000049408,Synthetic transaction
TXN-0000257,ACCT-000200,CUST-00200,2026-03-25,2026-03-25,ACH Debit - BrightFuel,BrightFuel,ACH Debit,-383.05,Posted,REF0000049601,Synthetic transaction
TXN-0000258,ACCT-000207,CUST-00007,2026-04-05,2026-04-07,ACH Debit - Atlas Wireless,Atlas Wireless,ACH Debit,-391.72,Posted,REF0000049794,Synthetic transaction
TXN-0000259,ACCT-000214,CUST-00014,2026-04-23,2026-04-23,ACH Credit - Atlas Wireless,Atlas Wireless,ACH Credit,1392.79,Posted,REF0000049987,Synthetic transaction
TXN-0000260,ACCT-000221,CUST-00021,2026-02-21,2026-02-21,Card Purchase - City Fitness,City Fitness,Card Purchase,-627.59,Posted,REF0000050180,Synthetic transaction
TXN-0000261,ACCT-000228,CUST-00028,2026-06-09,2026-06-09,Bill Pay - BrightFuel,BrightFuel,Bill Pay,-722.03,Posted,REF0000050373,Synthetic transaction
TXN-0000262,ACCT-000235,CUST-00035,2026-05-06,2026-05-06,Bill Pay - Atlas Wireless,Atlas Wireless,Bill Pay,-281.48,Posted,REF0000050566,Synthetic transaction
TXN-0000263,ACCT-000242,CUST-00042,2026-02-06,2026-02-06,ACH Debit - Corner Cafe,Corner Cafe,ACH Debit,-356.66,Posted,REF0000050759,Synthetic transaction
TXN-0000264,ACCT-000249,CUST-00049,2026-03-18,2026-03-18,ATM - Oak & Main,Oak & Main,ATM,-489.99,Posted,REF0000050952,Synthetic transaction
TXN-0000265,ACCT-000256,CUST-00056,2026-04-17,2026-04-17,ATM - BrightFuel,BrightFuel,ATM,-154.68,Posted,REF0000051145,Synthetic transaction
TXN-0000266,ACCT-000263,CUST-00063,2026-06-14,2026-06-14,ACH Debit - Metro Grocery,Metro Grocery,ACH Debit,-625.27,Posted,REF0000051338,Synthetic transaction
TXN-0000267,ACCT-000270,CUST-00070,2026-05-22,2026-05-22,Refund - Northline Utilities,Northline Utilities,Refund,3453.02,Posted,REF0000051531,Synthetic transaction
TXN-0000268,ACCT-000277,CUST-00077,2026-03-06,2026-03-06,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-21.24,Posted,REF0000051724,Synthetic transaction
TXN-0000269,ACCT-000284,CUST-00084,2026-06-19,2026-06-21,POS - Metro Grocery,Metro Grocery,POS,-750.24,Posted,REF0000051917,Synthetic transaction
TXN-0000270,ACCT-000291,CUST-00091,2026-04-04,2026-04-04,POS - Oak & Main,Oak & Main,POS,-752.84,Posted,REF0000052110,Synthetic transaction
TXN-0000271,ACCT-000298,CUST-00098,2026-05-15,2026-05-15,Bill Pay - Harbor Insurance,Harbor Insurance,Bill Pay,-747.76,Posted,REF0000052303,Synthetic transaction
TXN-0000272,ACCT-000305,CUST-00105,2026-03-19,2026-03-19,ACH Debit - Northline Utilities,Northline Utilities,ACH Debit,-273.52,Posted,REF0000052496,Synthetic transaction
TXN-0000273,ACCT-000312,CUST-00112,2026-03-14,2026-03-14,Card Purchase - Northline Utilities,Northline Utilities,Card Purchase,-384.02,Posted,REF0000052689,Synthetic transaction
TXN-0000274,ACCT-000319,CUST-00119,2026-02-27,2026-02-27,ATM - Atlas Wireless,Atlas Wireless,ATM,-273.91,Posted,REF0000052882,Synthetic transaction
TXN-0000275,ACCT-000326,CUST-00126,2026-04-08,2026-04-10,POS - FastShip,FastShip,POS,-478.94,Posted,REF0000053075,Synthetic transaction
TXN-0000276,ACCT-000333,CUST-00133,2026-04-16,2026-04-16,ATM - RideNow Transit,RideNow Transit,ATM,-92.38,Posted,REF0000053268,Synthetic transaction
TXN-0000277,ACCT-000340,CUST-00140,2026-04-07,2026-04-09,Card Purchase - FastShip,FastShip,Card Purchase,-102.32,Posted,REF0000053461,Synthetic transaction
TXN-0000278,ACCT-000347,CUST-00147,2026-02-05,2026-02-05,ACH Credit - TuitionPay,TuitionPay,ACH Credit,1102.97,Posted,REF0000053654,Synthetic transaction
TXN-0000279,ACCT-000354,CUST-00154,2026-04-02,2026-04-02,Fee - Overdraft Fee,Overdraft Fee,Fee,-16.54,Posted,REF0000053847,Synthetic transaction
TXN-0000280,ACCT-000361,CUST-00161,2026-01-26,2026-01-28,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-7.38,Posted,REF0000054040,Synthetic transaction
TXN-0000281,ACCT-000368,CUST-00168,2026-03-31,2026-04-02,Bill Pay - Metro Grocery,Metro Grocery,Bill Pay,-518.03,Posted,REF0000054233,Synthetic transaction
TXN-0000282,ACCT-000375,CUST-00175,2026-05-03,2026-05-03,ACH Debit - Harbor Insurance,Harbor Insurance,ACH Debit,-97.75,Posted,REF0000054426,Synthetic transaction
TXN-0000283,ACCT-000382,CUST-00182,2026-03-16,2026-03-16,Card Purchase - Bluebird Pharmacy,Bluebird Pharmacy,Card Purchase,-608.91,Posted,REF0000054619,Synthetic transaction
TXN-0000284,ACCT-000389,CUST-00189,2026-02-09,2026-02-09,ATM - Northline Utilities,Northline Utilities,ATM,-110.06,Posted,REF0000054812,Synthetic transaction
TXN-0000285,ACCT-000396,CUST-00196,2026-05-07,2026-05-07,ACH Debit - Oak & Main,Oak & Main,ACH Debit,-174.26,Pending,REF0000055005,Synthetic transaction
TXN-0000286,ACCT-000003,CUST-00003,2026-05-30,2026-05-30,Refund - RideNow Transit,RideNow Transit,Refund,1410.19,Posted,REF0000055198,Synthetic transaction
TXN-0000287,ACCT-000010,CUST-00010,2026-04-28,2026-04-30,Deposit - Oak & Main,Oak & Main,Deposit,1566.32,Posted,REF0000055391,Synthetic transaction
TXN-0000288,ACCT-000017,CUST-00017,2026-05-09,2026-05-09,ATM - BrightFuel,BrightFuel,ATM,-400.95,Posted,REF0000055584,Synthetic transaction
TXN-0000289,ACCT-000024,CUST-00024,2026-05-22,2026-05-24,Bill Pay - TuitionPay,TuitionPay,Bill Pay,-471.44,Posted,REF0000055777,Synthetic transaction
TXN-0000290,ACCT-000031,CUST-00031,2026-04-05,2026-04-05,ACH Debit - City Fitness,City Fitness,ACH Debit,-54.05,Posted,REF0000055970,Synthetic transaction
TXN-0000291,ACCT-000038,CUST-00038,2026-05-03,2026-05-03,Refund - City Fitness,City Fitness,Refund,1392.38,Posted,REF0000056163,Synthetic transaction
TXN-0000292,ACCT-000045,CUST-00045,2026-02-10,2026-02-10,Fee - Returned Item Fee,Returned Item Fee,Fee,-7.99,Posted,REF0000056356,Synthetic transaction
TXN-0000293,ACCT-000052,CUST-00052,2026-03-23,2026-03-23,Card Purchase - RideNow Transit,RideNow Transit,Card Purchase,-219.15,Posted,REF0000056549,Synthetic transaction
TXN-0000294,ACCT-000059,CUST-00059,2026-05-19,2026-05-19,Bill Pay - GreenLeaf Market,GreenLeaf Market,Bill Pay,-128.94,Posted,REF0000056742,Synthetic transaction
TXN-0000295,ACCT-000066,CUST-00066,2026-06-08,2026-06-10,Deposit - Atlas Wireless,Atlas Wireless,Deposit,2783.5,Posted,REF0000056935,Synthetic transaction
TXN-0000296,ACCT-000073,CUST-00073,2026-02-19,2026-02-19,Card Purchase - BrightFuel,BrightFuel,Card Purchase,-745.87,Posted,REF0000057128,Synthetic transaction
TXN-0000297,ACCT-000080,CUST-00080,2026-02-19,2026-02-19,Bill Pay - GreenLeaf Market,GreenLeaf Market,Bill Pay,-316.13,Posted,REF0000057321,Synthetic transaction
TXN-0000298,ACCT-000087,CUST-00087,2026-04-02,2026-04-02,Bill Pay - StreamBox Media,StreamBox Media,Bill Pay,-120.18,Posted,REF0000057514,Synthetic transaction
TXN-0000299,ACCT-000094,CUST-00094,2026-04-16,2026-04-16,ACH Debit - City Fitness,City Fitness,ACH Debit,-290.4,Posted,REF0000057707,Synthetic transaction
TXN-0000300,ACCT-000101,CUST-00101,2026-02-13,2026-02-13,Transfer In - StreamBox Media,StreamBox Media,Transfer In,744.74,Posted,REF0000057900,Synthetic transaction
TXN-0000301,ACCT-000108,CUST-00108,2026-05-30,2026-05-30,Fee - Wire Fee,Wire Fee,Fee,-22.21,Posted,REF0000058093,Synthetic transaction
TXN-0000302,ACCT-000115,CUST-00115,2026-05-02,2026-05-02,ACH Debit - City Fitness,City Fitness,ACH Debit,-427.18,Posted,REF0000058286,Synthetic transaction
TXN-0000303,ACCT-000122,CUST-00122,2026-03-31,2026-03-31,Bill Pay - Atlas Wireless,Atlas Wireless,Bill Pay,-57.65,Posted,REF0000058479,Synthetic transaction
TXN-0000304,ACCT-000129,CUST-00129,2026-04-21,2026-04-21,Card Purchase - MedPlus Clinic,MedPlus Clinic,Card Purchase,-237.01,Posted,REF0000058672,Synthetic transaction
TXN-0000305,ACCT-000136,CUST-00136,2026-05-21,2026-05-21,Card Purchase - Corner Cafe,Corner Cafe,Card Purchase,-212.83,Posted,REF0000058865,Synthetic transaction
TXN-0000306,ACCT-000143,CUST-00143,2026-01-27,2026-01-27,Fee - Expedited Card Fee,Expedited Card Fee,Fee,-35.88,Posted,REF0000059058,Synthetic transaction
TXN-0000307,ACCT-000150,CUST-00150,2026-06-19,2026-06-19,Transfer In - Atlas Wireless,Atlas Wireless,Transfer In,232.32,Posted,REF0000059251,Synthetic transaction
TXN-0000308,ACCT-000157,CUST-00157,2026-03-24,2026-03-24,Fee - Returned Item Fee,Returned Item Fee,Fee,-21.98,Posted,REF0000059444,Synthetic transaction
TXN-0000309,ACCT-000164,CUST-00164,2026-03-03,2026-03-03,Refund - RideNow Transit,RideNow Transit,Refund,3427.26,Posted,REF0000059637,Synthetic transaction
TXN-0000310,ACCT-000171,CUST-00171,2026-05-03,2026-05-05,Card Purchase - Harbor Insurance,Harbor Insurance,Card Purchase,-136.66,Posted,REF0000059830,Synthetic transaction
TXN-0000311,ACCT-000178,CUST-00178,2026-04-04,2026-04-04,ATM - GreenLeaf Market,GreenLeaf Market,ATM,-263.58,Posted,REF0000060023,Synthetic transaction
