case_id,customer_id,account_id,related_transaction_id,category,channel,priority,status,opened_at,assigned_queue,kb_article_id,short_summary,requested_action,resolution,customer_sentiment,synthetic_notice
CASE-00089,CUST-00180,ACCT-000380,TXN-0000397,dispute handoff,email,Medium,Escalated,2026-05-21 16:55 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00090,CUST-00191,ACCT-000191,TXN-0000370,complaint escalation,phone,High,Escalated,2026-05-12 08:26 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00091,CUST-00002,ACCT-000202,TXN-0000143,overdraft fee reversal,secure message,Urgent,In Progress,2026-05-19 09:50 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00092,CUST-00013,ACCT-000013,TXN-0000116,card replacement,chat,Low,Waiting on Customer,2026-06-09 10:27 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00093,CUST-00024,ACCT-000224,TXN-0000089,address change,email,Medium,Resolved,2026-06-02 11:14 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Address update queued,Neutral,Synthetic service case
CASE-00094,CUST-00035,ACCT-000035,TXN-0000062,payment not posted,phone,High,Escalated,2026-06-06 12:39 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00095,CUST-00046,ACCT-000246,TXN-0000035,account access issue,secure message,Urgent,New,2026-06-04 13:07 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00096,CUST-00057,ACCT-000057,TXN-0000008,wire transfer question,chat,Low,In Progress,2026-05-15 14:58 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Frustrated,Synthetic service case
CASE-00097,CUST-00068,ACCT-000268,TXN-0000381,loan payoff question,email,Medium,Waiting on Customer,2026-05-31 15:48 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00098,CUST-00079,ACCT-000079,TXN-0000354,dispute handoff,phone,High,Resolved,2026-06-06 16:51 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Dispute handoff completed,Neutral,Synthetic service case
CASE-00099,CUST-00090,ACCT-000290,TXN-0000327,complaint escalation,secure message,Urgent,Escalated,2026-06-19 08:43 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00100,CUST-00101,ACCT-000101,TXN-0000300,overdraft fee reversal,chat,Low,Escalated,2026-05-19 09:32 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Confused,Synthetic service case
